554W101031G.txt
20.F0711.010     CONN CTR SMD 10P HS8810F              1 BT1
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R99
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R77
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R349
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R396
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R399
63.10334.1DL     CHIP RES 10K J 1/16W 0402            62 R348
63.10434.1DL     CHIP RES 100K J 1/16W 0402           35 R351
63.R0034.1DL     CHIP RES 0 J 1/16W 0402              12 R433
64.10025.6DL     CHIP RES 10K F 1/16W 0402             6 R124
64.10715.6DL     CHIP RES 1.07K F 1/16W 0402           4 R343
64.10715.6DL     CHIP RES 1.07K F 1/16W 0402           4 R315
64.11515.6DL     CHIP RES 1.15K F 1/16W 0402           4 R342
64.11515.6DL     CHIP RES 1.15K F 1/16W 0402           4 R306
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R323
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R115
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R317
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R335
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R340
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R307
64.40225.6DL     CHIP RES 40.2K F 1/16W 0402           1 R121
64.84515.6DL     CHIP RES 8.45K F 1/16W 0402           1 R125
71.08513.003     IC CLK GEN SLG8SP513VTR QFN64P        1 U22
71.0NB8P.00U     IC VGA NB8P-GS-A2H G3-128 BGA         1 U55
72.45232.A0U     IC VRAM K4J52324QE-BC14 FBGA          4 U7
72.45232.A0U     IC VRAM K4J52324QE-BC14 FBGA          4 U11
72.45232.A0U     IC VRAM K4J52324QE-BC14 FBGA          4 U10
72.45232.A0U     IC VRAM K4J52324QE-BC14 FBGA          4 U6
74.00792.A79     IC TEMP SENSOR G792SFUF SSOP          1 U60
74.04411.A13     IC AMP MAX4411ETP+ QFN 20P            1 U29
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC26
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC10
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C615
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C690
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C700
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C103
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C128
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C226
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C234
78.10224.2FL     CHIP CAP 1000P50V K0402 X7R(RO       35 C611
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       45 C721
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       45 C731
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       45 C736
